['\n', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. sales']
['280', 'Transformers 3 Movie Adaptation', '3', '$3.99', 'IDW', '5,424']
['281', 'Graveyard of Empires', '1', '$2.99', 'Image', '5,381']
['282', 'Fear Itself', '2', '$3.99', 'Marvel', '5,374']
['283', 'Charmed', '11 A Cvr Charmed Ones', '$3.50', 'Zenescope', '5,352']
['284', 'Blue Estate', '3', '$2.99', 'Image', '5,323']
['285', 'Ducktales', '2', '$3.99', 'Boom', '5,267']
['286', 'Rage', '1 Fabry Cvr', '$3.50', 'Dark Horse', '5,063']
['287', 'Spider-Man', '15', '$2.99', 'Marvel', '5,052']
['288', 'Halcyon', '5', '$2.99', 'Image', '4,933']
['289', 'Savage Dragon', '171', '$3.50', 'Image', '4,888']
['290', 'Charmed', '10', '$3.50', 'Zenescope', '4,858']
['291', 'Stan Lee Soldier Zero', '9', '$3.99', 'Boom', '4,855']
['292', 'Simpsons Super Spectacular', '13', '$2.99', 'Bongo', '4,849']
['293', 'Jericho Season 3', '6', '$3.99', 'IDW', '4,816']
['294', 'Cars 2', '1', '$3.99', 'Marvel', '4,798']
['295', 'Usagi Yojimbo', '138', '$3.50', 'Dark Horse', '4,778']
['296', 'Scooby Doo Where Are You', '10', '$2.99', 'DC', '4,774']
['297', 'Gladstones School For World\nConquerors', '2', '$2.99', 'Image', '4,737']
['298', 'Stan Lee Traveler', '8', '$3.99', 'Boom', '4,688']
['299', 'Gears of War', '17', '$2.99', 'DC', '4,652']
['300', 'Stan Lee Starborn', '7', '$3.99', 'Boom', '4,427']
['\n', '\n', '\n', '\n', '\n', '\n']
['\n', '\n', '\n', '\n', '\n', '\n']
['\n', '\n', '\n', '\n', '\n', '\n']
['\n', 'Top-selling trade paperbacks', '\n', '\n', '\n', '\n']
['\n', '\n', '\n', '\n', '\n', '\n']
['\n', 'Trade Paperback title', '\n', 'Price', 'Publisher', 'Est. sales']
['1', 'Walking Dead Vol. 14 No Way Out', '', '$14.99', 'Image', '20,397']
['2', 'Buffy the Vampire Slayer Season 8\nVol. 8 Last Gleaming', '', '$16.99', 'Dark Horse', '6,804']
['3', 'Naruto Vol. 51', '', '$9.99', 'Viz', '4,210']
['4', 'Green Lantern Brightest Day HC', '', '$22.99', 'DC', '4,054']
['5', 'Batwoman Vol. 1 Elegy', '', '$17.99', 'DC', '3,845']
['6', 'Sweet Tooth Vol. 3 Animal Armies', '', '$14.99', 'DC', '3,752']
['7', 'Walking Dead Vol. 1 Days Gone Bye', '', '$9.99', 'Image', '3,131']
['8', 'Arkham Asylum Madness', '', '$14.99', 'DC', '3,020']
['9', 'X-Men Second Coming', '', '$34.99', 'Marvel', '2,700']
