['\n', 'Comic-book\nTitle', 'Issue', 'Price', 'Publisher', 'Est. sales']
['297', 'Jennifer Blood', '28', '$3.99', 'Dynamic Forces', '4,342']
['298', 'Savage Dragon', '188', '$3.99', 'Image', '4,319']
['299', 'Sherlock Holmes Liverpool Demon', '5', '$3.99', 'Dynamic Forces', '4,279']
['300', 'Sixth Gun', '32', '$3.99', 'Oni', '4,277']
['305', 'Sixth Gun Sons of the Gun', '4', '$3.99', 'Oni', '3,990']
['306', 'A1', '1', '$3.99', 'Titan', '3,981']
['310', 'Atomic Robo Savage Sword of Dr Dinosaur', '1', '$3.50', 'Red 5', '3,848']
['314', 'Shrugged Vol. 2', '3', '$3.99', 'Aspen', '3,672']
['319', 'Executive Assistant Iris Vol. 3', '4', '$3.99', 'Aspen', '3,590']
['320', 'Drew Hayes Poison Elves', '3', '$2.99', 'Ape', '3,562']
['325', 'Executive Assistant Assassins', '12', '$3.99', 'Aspen', '3,408']
['330', 'Aspen Splash 2013 Swimsuit\nSpectacular Anniversary Ed', '$3.99', 'Aspen', '3,310']
['339', 'Sesame Street', '1', '$3.99', 'Ape', '3,175']
['342', 'Betty & Veronica', '266', '$2.99', 'Archie', '3,122']
['344', 'Legend of Oz The Wicked West Ongoing', '8', '$3.50', 'Big Dog', '3,057']
['345', 'Legend of Oz Scarecrow', '2', '$3.50', 'Big Dog', '2,956']
['348', 'Knights of The Dinner Table', '199', '$5.99', 'Kenzer', '2,843']
['357', 'Kevin Keller', '9', '$2.99', 'Archie', '2,479']
['360', 'Life With Archie', '30', '$3.99', 'Archie', '2,412']
['\n', '\n', '\n', '\n', '\n', '\n']
['\n', '\n', '\n', '\n', '\n', '\n']
['\n', 'Trade Paperback title', '\n', 'Price', 'Publisher', 'Est. sales']
['1', 'Walking Dead Vol. 18 What Comes After', '', '$14.99', 'Image', '28,175']
['2', 'Saga Vol. 2', '', '$14.99', 'Image', '18,022']
['3', 'Adventure Time Vol. 3', '', '$14.99', 'Boom', '6,079']
['4', 'Star-Lord Hollow Crown\xa0', '', '$7.99', 'Marvel', '5,607']
['5', 'Deadpool Killustrated\xa0', '', '$14.99', 'Marvel', '4,448']
['6', 'Walking Dead Vol. 2 Miles Behind Us', '', '$14.99', 'Image', '4,376']
['7', 'Fatale Vol. 3', '', '$14.99', 'Image', '4,340']
['8', 'Batman & Robin Vol. 1 Born To Kill', '', '$16.99', 'DC', '4,274']
['9', 'Harley Quinn Night and Day\xa0', '', '$16.99', 'DC', '4,050']
['10', 'Before Watchmen Minutemen Silk Spectre Dlx HC', '', '$29.99', 'DC', '3,939']
['11', 'Batman & Robin HC Vol. 2 Pearl', '', '$24.99', 'DC', '3,754']
['12', 'Before Watchmen Ozymandias Crimson Corsair Dlx\nHC', '', '$29.99', 'DC', '3,705']
['13', 'Sweet Tooth Vol. 6 Wild Game', '', '$16.99', 'DC', '3,305']
['14', 'Saga Vol. 1', '', '$9.99', 'Image', '3,036']
['15', 'Star Wars Clone Wars Smugglers Code\xa0', '', '$7.99', 'Dark Horse', '3,006']
['16', 'Pacific Rim Prem HC Tales From Year Zero', '', '$24.99', 'Marvel', '2,963']
['17', 'Superman Vol. 1 What Price Tomorrow', '', '$14.99', 'DC', '2,935']
['18', 'Red Hood and the Outlaws Vol. 2 Starfire', '', '$14.99', 'DC', '2,912']
['19', 'Superman HC Vol. 2 Secrets and Lies', '', '$24.99', 'DC', '2,696']
['20', 'Teen Titans Vol. 2 The Culling', '', '$16.99', 'DC', '2,577']
['21', 'Wolverine Season One Prem HC', '', '$24.99', 'Marvel', '2,533']
['22', 'Batgirl Robin Year One\xa0', '', '$24.99', 'DC', '2,438']
['23', 'Catwoman Vol. 2 No Easy Way Down', '', '$24.99', 'DC', '2,420']
['24', 'Walking Dead Vol. 1 Days Gone Bye', '', '$14.99', 'Image', '2,392']
['25', 'Lone Wolf & Cub Omnibus Vol. 1', '', '$19.99', 'Dark Horse', '2,340']
['26', 'Yu Gi Oh Zexal Vol. 3', '', '$9.99', 'Viz', '2,251']
['27', 'Superman Family Adventures Vol. 1', '', '$12.99', 'DC', '2,226']
['28', 'Game of Thrones HC Vol. 2', '', '$25.00', 'Random House', '2,186']
['29', 'Crisis On Multiple Earths Vol. 6', '', '$19.99', 'DC', '2,047']
['30', 'Usagi Yojimbo Vol. 27 Town Called Hell', '', '$16.99', 'Dark Horse', '2,022']
['31', 'Captain America Prem HC Vol. 1 Castaway\nDimension Z Bk 1 Now', '', '$24.99', 'Marvel', '2,014']
['32', 'Hellboy Library HC Vol. 6 Storm Fury Bride Hell', '', '$49.99', 'Dark Horse', '2,001']
['33', 'Hellblazer Death and Cigarettes\xa0', '', '$19.99', 'DC', '1,992']
['34', 'Solo Deluxe Ed HC', '', '$49.99', 'DC', '1,970']
['35', 'Btvs Spike Vol. 1 Dark Place', '', '$17.99', 'Dark Horse', '1,940']
['36', 'John Byrne Fantastic Four Artist Ed HC (Net)', '', '$75.00', 'IDW', '1,852']
['37', 'Conan Vol. 13 Queen of the Black Coast', '', '$19.99', 'Dark Horse', '1,829']
['38', 'Wolverine and X-Men By Jason Aaron Vol. 5', '', '$17.99', 'Marvel', '1,820']
['39', 'Mind The Gap Vol. 2 Wish You Were Here', '', '$14.99', 'Image', '1,812']
['40', 'Silence & Co', '', '$9.99', 'Crystal', '1,812']
['41', 'Preacher Book 1', '', '$19.99', 'DC', '1,779']
['42', 'Star Wars Lost Tribe of the Sith Spiral\xa0', '', '$18.99', 'Dark Horse', '1,706']
['43', 'Invincible Iron Man Vol. 11 Future', '', '$19.99', 'Marvel', '1,685']
['44', 'Spider-Man Danger Zone\xa0', '', '$19.99', 'Marvel', '1,639']
['45', 'Avengers By Brian Michael Bendis Vol. 4 Avx', '', '$19.99', 'Marvel', '1,616']
['46', 'Wolverine By Claremont and Miller HC', '', '$24.99', 'Marvel', '1,601']
['47', 'Hawkeye Vol. 1 My Life As Weapon Now', '', '$16.99', 'Marvel', '1,555']
['48', 'Harbinger Vol. 2 Renegades', '', '$14.99', 'Valiant', '1,531']
['49', 'Batman The Killing Joke Special Ed HC', '', '$17.99', 'DC', '1,486']
