['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. sales']
['1', 'Fallen Son:\nDeath of Captain America: Captain America', '$2.99', 'Marvel', '169,972']
['25', 'Showcase\nPresents War That Time Forgot Vol. 1', '$16.99', 'DC', '3,973']
['26', 'Doctor Strange Oath', '', '$13.99', 'Marvel', '3,893']
['27', 'Star Wars Legacy Vol. 1 Broken ', '', '$17.95', 'Dark Horse', '3,837']
['28', 'Bleach Vol. 19 ', '', '$7.95', 'Viz', '3,757']
['29', 'Encyclopedia of\nComicbook Heroes Vol. 1 Batman', '$19.99', 'DC', '3,724']
['30', 'Criminal Vol. 1 Coward', '', '$14.99', 'Marvel', '3,668']
['31', 'Star Wars\nKnights of Old Republic Vol. 2 Flashpoint', '$18.95', 'Dark Horse', '3,652']
['32', 'Runaways Vol. 3 HC', '', '$24.99', 'Marvel', '3,612']
['33', 'Berserk Vol. 17 ', '', '$13.95', 'Dark Horse', '3,580']
['34', 'Essential Fantastic Four Vol. 6', '', '$16.99', 'Marvel', '3,564']
['35', 'Civil War Amazing Spider-Man', '', '$17.99', 'Marvel', '3,556']
['36', 'Hellblazer Devil You Know', '', '$19.99', 'DC', '3,460']
['37', 'Batman Black & White Vol. 3\nHC', '', '$24.99', 'DC', '3,460']
['38', 'Walking Dead Vol. 2 HC', '', '$29.99', 'Image', '3,340']
['39', 'Green Lantern Corps Vol. 1 To Be\nLantern', '', '$12.99', 'DC', '3,172']
['40', 'Penny Arcade Vol. 4 Birds Are Weird\n      ', '', '$12.95', 'Dark Horse', '3,052']
['41', 'Girls Vol. 4 ', '', '$14.99', 'Image', '2,972']
['42', 'Megatokyo Vol. 5', '', '$10.99', 'DC', '2,867']
['43', 'Loveless Vol. 5', '', '$9.99', 'Tokyopop', '2,811']
['44', 'New X-Men Childhoods End Vol. 4', '', '$10.99', 'Marvel', '2,755']
['45', 'Ultimate Galactus Trilogy HC', '', '$34.99', 'Marvel', '2,627']
['46', 'Rob Zombie Pres\nHaunted World of El Superbeasto', '$19.99', 'Image', '2,587']
['47', 'Star Wars 30th\nAnnv Coll HC Vol. 4 Jango Fett Zam\nWesell', '$19.95', 'Dark Horse', '2,571']
['48', 'Marvel 1602 Fantastick Four', '', '$14.99', 'Marvel', '2,555']
['49', 'Marvel\nMasterworks Incredible Hulk Vol. 4 HC', '$54.99', 'Marvel', '2,523']
['50', 'Gunsmith Cats Burst Vol. 1 ', '', '$10.95', 'Dark Horse', '2,491']
['51', 'Silver Surfer Omnibus Vol. 1 HC', '', '$74.99', 'Marvel', '2,443']
