['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. preorders']
['1', "Superman: The\nWedding Album Collector's Edition", '$4.95', 'DC', '227,686']
['255', 'Star Seed', '10', '$2.95', 'Broadway', '7,767']
['256', 'Fang Testament', '3', '$2.50', 'Sirius', '7,618']
['257', 'Sunglasses After Dark', '6', '$3.95', 'Verotik', '7,598']
['258', 'No Need for Tenchi Part Two', '1', '$2.95', 'Viz', '7,557']
['259', 'Nightvision', '1', '$3.00', 'London Night', '7,354']
['260', 'Dark Horse Presents', '115', '$2.95', 'Dark Horse', '7,273']
['261', 'Disney Comic Hits', '16', '$1.50', 'Marvel', '7,227']
['262', 'Cavewoman', '5', '$2.95', 'Caliber', '7,164']
['263', 'Widow Luxura Blood Lust', '', '$3.50', 'Ground Zero', '6,913']
['264', 'Big Bang Comics', '6', '$2.50', 'Image', '6,805']
['265', 'Sonic the Hedgehog', '43', '$1.50', 'Archie', '6,785']
['266', 'Double Impact Lethal Strike', '', '$3.00', 'High Impact', '6,622']
['267', 'Icon', '41', '$2.50', 'DC', '6,520']
['268', 'CreeD Cranial Disorder', '2', '$3.00', 'Lightning', '6,513']
['269', 'Maison Ikkoku Part Six', '4', '$2.95', 'Viz', '6,154']
['270', 'Double Impact', '3A', '$3.00', 'High Impact', '6,100']
['271', 'Looney Tunes', '27', '$1.75', 'DC', '6,093']
['272', 'Moebius Comics', '4', '$2.95', 'Caliber', '6,073']
['273', 'Hot Tails', '9', '$3.50', 'Fantagraphics', '6,025']
['274', "Isaac Asimov's I-Bots", '8', '$2.25', 'Big', '5,985']
['275', 'Morbid Angels: To Hell and Back', '2', '$3.00', 'London Night', '5,958']
['276', 'China & Jazz: Code Name\nDouble Impact', '2', '$2.95', 'High Impact', '5,917']
['277', 'Vault of Horror', '18', '$2.50', 'Gemstone', '5,856']
['278', 'Super Taboo', '12', '$3.50', 'Fantagraphics', '5,720']
['279', 'Cynder/Hellina Special', '1', '$2.95', 'Immortelle', '5,605']
['280', 'Sonic the Death Egg Saga', '3', '$1.50', 'Archie', '5,578']
['281', 'Araknis', '6', '$2.50', 'Mystic', '5,531']
['282', 'Archie', '456', '$1.50', 'Archie', '5,490']
['283', 'Weird Fantasy', '18', '$2.50', 'Gemstone', '5,443']
['284', 'Return of Lum Part Three', '7', '$2.95', 'Viz', '5,382']
['285', "Walt Disney's Comics &\nStories", '608', '$5.95', 'Gladstone', '5,361']
['286', 'THB: The Cutie Pie Style', '1', '$2.95', 'Horse', '5,321']
['287', 'La Blue Girl', '5', '$2.95', 'CPM', '5,260']
['288', 'Double Impact', '3B', '$3.00', 'High Impact', '5,158']
['289', 'Vamperotica', '21', '$2.95', 'Brainstorm', '5,124']
['290', 'Double Impact', '3C', '$3.00', 'High Impact', '5,124']
['291', 'Static', '43', '$2.50', 'DC', '5,110']
['292', 'Wise Son: The White Wolf', '3', '$2.50', 'DC', '5,070']
['293', 'Betty & Veronica', '108', '$1.50', 'Archie', '5,029']
['294', 'Luftwaffe 1946', '3', '$2.95', 'Antarctic', '5,016']
['295', 'Luxura &\nWidow: Bloodlust Omega Part II Nude Cvr.', '$2.95', 'Brainstorm', '4,988']
['296', 'Youngblood Classics', '3', '$2.25', 'Maximum', '4,846']
['297', 'Ninja High School', '54', '$2.95', 'Antarctic', '4,826']
['298', 'Two-Fisted Tales', '18', '$2.50', 'Gemstone', '4,819']
['299', 'Betty', '46', '$1.50', 'Archie', '4,799']
['300', 'Cheryl Blossom Goes Hollywood', '3', '$1.50', 'Archie', '4,717']
['301', 'Hardware', '47', '$2.50', 'DC', '4,711']
['302', 'CreeD Cranial Disorder', '2B', '$3.00', 'Lightning', '4,643']
['303', 'P-City Parade', '1', '$4.95', 'Horse', '4,534']
['304', 'Bio Booster Armor Guyver Part Five', '7', '$2.95', 'Viz', '4,487']
['305', 'Veronica', '60', '$1.50', 'Archie', '4,473']
['306', 'Big Blown Baby', '4', '$2.95', 'Dark Horse', '4,460']
['307', 'Superfist Ayumi', '2', '$2.95', 'Fantagraphics', '4,236']
['308', 'Tribe', '1', '$2.95', 'Good', '4,229']
['309', 'Cartoon Network Holiday Special', '1', '$2.00', 'Archie', '4,182']
['310', 'Kaos Moon', '2', '$2.95', 'Caliber', '4,182']
['311', "Eddie Campbell's Bacchus", '19', '$2.95', 'Eddie Campbell', '4,168']
['312', '100 Percent True', '2', '$3.50', 'DC', '4,128']
['313', 'Fist of the North Star Part Three', '5', '$2.95', 'Viz', '4,101']
['314', "Hellina Hell's Angel", '2', '$2.75', 'Lightning', '4,087']
['315', 'Akiko', '9', '$2.50', 'Sirius', '4,060']
['316', '6 Lethal Origins', '2', '$2.50', 'Byron Preiss', '4,053']
['317', 'Scooby Doo', '17', '$1.50', 'Archie', '4,006']
['318', 'They Call Me the Skull', '2', '$2.50', 'Byron Preiss', '3,992']
['319', 'Wandering Star', '18', '$2.50', 'Sirius', '3,979']
['320', 'Archie and Friends', '21', '$1.50', 'Archie', '3,958']
['321', "S.R. Bissette's Spiderbaby Comix", '1', '$3.95', 'Spiderbaby', '3,931']
['322', "Archie's Pal Jughead", '89', '$1.50', 'Archie', '3,924']
['323', 'Manga Vizion Vol. 2', '11', '$4.95', 'Viz', '3,918']
['324', 'Sanctuary Part Five', '9', '$3.50', 'Viz', '3,897']
['325', 'Reality Check', '3', '$2.95', 'Sirius', '3,816']
['326', 'War of the Worlds', '2', '$2.95', 'Caliber', '3,789']
['327', 'Thieves & Kings', '14', '$2.35', 'I Box', '3,707']
['328', 'Suit', '2', '$2.50', 'Byron Preiss', '3,653']
['329', 'Widow Bound by Blood', '3', '$3.50', 'Ground Zero', '3,646']
['330', "Archie's Double Digest", '90', '$2.75', 'Archie', '3,640']
['331', 'Four Kunoichi Blood Lust', '1', '$2.75', 'Lightning', '3,633']
['332', 'Bandy Man', '2', '$2.95', 'Caliber', '3,531']
['333', 'Betty & Veronica Digest', '86', '$1.79', 'Archie', '3,477']
['334', 'Cynder Annual', '1', '$2.95', 'Liar', '3,463']
['335', 'Sade Rose n Gunn', '1', '$3.00', 'London Night', '3,443']
['336', 'Snowman', '1', '$5.00', 'Express', '3,375']
['337', 'Demongate', '7', '$2.50', 'Sirius', '3,328']
['338', 'Holiday Fun Digest', '1', '$1.79', 'Archie', '3,328']
['339', 'Golgothika', '1', '$2.95', 'Caliber', '3,308']
['340', 'Naughty Bits', '21', '$2.95', 'Fantagraphics', '3,267']
['341', 'Vampfire', '2', '$2.95', 'Brainstorm', '3,240']
['342', 'Stargate: Doomsday World', '1', '$2.95', 'Express', '3,233']
['343', 'Dirty Plotte', '10', '$3.50', 'Drawn & Quarterly', '3,077']
['344', 'Oz', '18', '$2.95', 'Caliber', '3,070']
['345', 'Jughead Double Digest', '42', '$2.75', 'Archie', '3,070']
